s: 119.207.64.192, d: 192.168.0.82, seq: 2073682275
s: 125.209.222.142, d: 192.168.0.82, seq: 582168081
s: 125.209.222.142, d: 192.168.0.82, seq: 582168082
s: 125.209.222.142, d: 192.168.0.82, seq: 582168082
s: 125.209.222.142, d: 192.168.0.82, seq: 582174642
s: 125.209.222.142, d: 192.168.0.82, seq: 582174900
s: 125.209.222.142, d: 192.168.0.82, seq: 582174969
s: 125.209.222.142, d: 192.168.0.82, seq: 582175007
s: 216.58.196.228, d: 192.168.0.82, seq: 4056711913
s: 216.58.196.228, d: 192.168.0.82, seq: 461582374
s: 125.209.254.162, d: 192.168.0.82, seq: 2764161904
s: 125.209.254.196, d: 192.168.0.82, seq: 2667208466
s: 101.79.137.158, d: 192.168.0.82, seq: 3427402470
s: 125.209.222.142, d: 192.168.0.82, seq: 582175007
s: 125.209.254.162, d: 192.168.0.82, seq: 2764161905
s: 125.209.254.196, d: 192.168.0.82, seq: 2667208467
s: 125.209.254.196, d: 192.168.0.82, seq: 2667211363
s: 101.79.137.158, d: 192.168.0.82, seq: 3427402471
s: 125.209.222.142, d: 192.168.0.82, seq: 582175007
s: 125.209.222.142, d: 192.168.0.82, seq: 582179065
s: 125.209.222.142, d: 192.168.0.82, seq: 582183199
s: 172.217.31.170, d: 192.168.0.82, seq: 2655399893
s: 125.209.222.142, d: 192.168.0.82, seq: 582187333
s: 125.209.254.162, d: 192.168.0.82, seq: 2764165827
s: 125.209.222.142, d: 192.168.0.82, seq: 582188781
s: 125.209.222.142, d: 192.168.0.82, seq: 582194573
s: 125.209.222.142, d: 192.168.0.82, seq: 582198917
s: 125.209.222.142, d: 192.168.0.82, seq: 582200365
s: 125.209.254.196, d: 192.168.0.82, seq: 2667212389
s: 101.79.137.158, d: 192.168.0.82, seq: 3427406489
s: 125.209.254.162, d: 192.168.0.82, seq: 2764166069
s: 101.79.137.158, d: 192.168.0.82, seq: 3427406731
s: 125.209.254.196, d: 192.168.0.82, seq: 2667212631
s: 101.79.137.158, d: 192.168.0.82, seq: 3427406800
s: 172.217.31.170, d: 192.168.0.82, seq: 2655399894
s: 172.217.31.170, d: 192.168.0.82, seq: 2655399894
s: 125.209.254.162, d: 192.168.0.82, seq: 2764166128
s: 125.209.254.162, d: 192.168.0.82, seq: 2764166128
s: 125.209.254.162, d: 192.168.0.82, seq: 2764169024
s: 125.209.254.162, d: 192.168.0.82, seq: 2764179160
s: 125.209.254.162, d: 192.168.0.82, seq: 2764180608
s: 125.209.254.162, d: 192.168.0.82, seq: 2764180608
s: 101.79.137.158, d: 192.168.0.82, seq: 3427406838
s: 125.209.254.196, d: 192.168.0.82, seq: 2667212690
s: 101.79.137.158, d: 192.168.0.82, seq: 3427406838
s: 101.79.137.158, d: 192.168.0.82, seq: 3427409726
s: 101.79.137.158, d: 192.168.0.82, seq: 3427412614
s: 101.79.137.158, d: 192.168.0.82, seq: 3427415502
s: 101.79.137.158, d: 192.168.0.82, seq: 3427418390
s: 125.209.254.196, d: 192.168.0.82, seq: 2667212690
s: 125.209.254.162, d: 192.168.0.82, seq: 2764180608
s: 125.209.254.196, d: 192.168.0.82, seq: 2667216637
s: 125.209.254.162, d: 192.168.0.82, seq: 2764180608
s: 125.209.254.162, d: 192.168.0.82, seq: 2764180608
s: 125.209.254.162, d: 192.168.0.82, seq: 2764182056
s: 125.209.254.162, d: 192.168.0.82, seq: 2764182056
s: 125.209.254.162, d: 192.168.0.82, seq: 2764186400
s: 125.209.254.162, d: 192.168.0.82, seq: 2764196536
s: 101.79.137.158, d: 192.168.0.82, seq: 3427421278
s: 101.79.137.158, d: 192.168.0.82, seq: 3427422726
s: 101.79.137.158, d: 192.168.0.82, seq: 3427423396
s: 101.79.137.158, d: 192.168.0.82, seq: 3427426284
s: 125.209.254.162, d: 192.168.0.82, seq: 2764205224
s: 125.209.254.162, d: 192.168.0.82, seq: 2764206672
s: 125.209.254.162, d: 192.168.0.82, seq: 2764209568
s: 125.209.254.162, d: 192.168.0.82, seq: 2764212464
s: 125.209.254.162, d: 192.168.0.82, seq: 2764215360
s: 125.209.254.162, d: 192.168.0.82, seq: 2764218256
s: 125.209.254.162, d: 192.168.0.82, seq: 2764226944
s: 125.209.254.162, d: 192.168.0.82, seq: 2764232736
s: 125.209.254.162, d: 192.168.0.82, seq: 2764234184
s: 125.209.254.162, d: 192.168.0.82, seq: 2764239976
s: 125.209.254.162, d: 192.168.0.82, seq: 2764242872
s: 125.209.254.162, d: 192.168.0.82, seq: 2764245768
s: 125.209.254.162, d: 192.168.0.82, seq: 2764248664
s: 125.209.254.162, d: 192.168.0.82, seq: 2764250112
s: 125.209.254.162, d: 192.168.0.82, seq: 2764253008
s: 125.209.254.162, d: 192.168.0.82, seq: 2764254456
s: 54.187.46.234, d: 192.168.0.82, seq: 2376729259
s: 125.209.254.162, d: 192.168.0.82, seq: 2764255904
s: 125.209.254.162, d: 192.168.0.82, seq: 2764257352
s: 125.209.254.162, d: 192.168.0.82, seq: 2764281968
s: 125.209.254.162, d: 192.168.0.82, seq: 2764286312
s: 125.209.254.162, d: 192.168.0.82, seq: 2764297896
s: 125.209.254.162, d: 192.168.0.82, seq: 2764319616
s: 125.209.254.162, d: 192.168.0.82, seq: 2764339888
s: 172.217.31.170, d: 192.168.0.82, seq: 2655400050
s: 125.209.254.162, d: 192.168.0.82, seq: 2764354368
s: 125.209.254.162, d: 192.168.0.82, seq: 2764358712
s: 125.209.254.162, d: 192.168.0.82, seq: 2764389120
s: 125.209.254.162, d: 192.168.0.82, seq: 2764406496
s: 125.209.254.162, d: 192.168.0.82, seq: 2764409392
s: 125.209.254.162, d: 192.168.0.82, seq: 2764410840
s: 125.209.254.162, d: 192.168.0.82, seq: 2764431112
s: 125.209.254.162, d: 192.168.0.82, seq: 2764445592
s: 125.209.254.162, d: 192.168.0.82, seq: 2764460072
s: 172.217.31.170, d: 192.168.0.82, seq: 2655400119
s: 54.187.46.234, d: 192.168.0.82, seq: 3281470823
s: 125.209.254.162, d: 192.168.0.82, seq: 2764474552
s: 125.209.254.162, d: 192.168.0.82, seq: 2764331200
s: 125.209.254.162, d: 192.168.0.82, seq: 2764334096
s: 125.209.254.162, d: 192.168.0.82, seq: 2764341336
s: 125.209.254.162, d: 192.168.0.82, seq: 2764342784
s: 125.209.254.162, d: 192.168.0.82, seq: 2764348576
s: 125.209.254.162, d: 192.168.0.82, seq: 2764355816
s: 125.209.254.162, d: 192.168.0.82, seq: 2764481792
s: 125.209.254.162, d: 192.168.0.82, seq: 2764484688
s: 125.209.254.162, d: 192.168.0.82, seq: 2764486136
s: 125.209.254.162, d: 192.168.0.82, seq: 2764489032
s: 125.209.254.162, d: 192.168.0.82, seq: 2764490480
s: 125.209.254.162, d: 192.168.0.82, seq: 2764493376
s: 125.209.254.162, d: 192.168.0.82, seq: 2764494824
s: 125.209.254.162, d: 192.168.0.82, seq: 2764496272
s: 125.209.254.162, d: 192.168.0.82, seq: 2764497720
s: 125.209.254.162, d: 192.168.0.82, seq: 2764428216
s: 125.209.254.162, d: 192.168.0.82, seq: 2764429664
s: 125.209.254.162, d: 192.168.0.82, seq: 2764432560
s: 125.209.254.162, d: 192.168.0.82, seq: 2764434008
s: 125.209.254.162, d: 192.168.0.82, seq: 2764435456
s: 125.209.254.162, d: 192.168.0.82, seq: 2764436904
s: 125.209.254.162, d: 192.168.0.82, seq: 2764439800
s: 125.209.254.162, d: 192.168.0.82, seq: 2764447040
s: 210.89.172.40, d: 192.168.0.82, seq: 4189289841
s: 210.89.168.147, d: 192.168.0.82, seq: 4258980151
s: 125.209.254.162, d: 192.168.0.82, seq: 2764461520
s: 125.209.254.162, d: 192.168.0.82, seq: 2764467312
s: 210.89.168.147, d: 192.168.0.82, seq: 4005829707
s: 210.89.168.147, d: 192.168.0.82, seq: 2822642197
s: 125.209.254.162, d: 192.168.0.82, seq: 2764471656
s: 125.209.254.162, d: 192.168.0.82, seq: 2764328304
s: 125.209.254.162, d: 192.168.0.82, seq: 2764476000
s: 125.209.254.162, d: 192.168.0.82, seq: 2764477448
s: 172.217.31.170, d: 192.168.0.82, seq: 2655400157
s: 210.89.168.147, d: 192.168.0.82, seq: 4258980152
s: 210.89.168.147, d: 192.168.0.82, seq: 4258980152
s: 210.89.168.147, d: 192.168.0.82, seq: 4258984496
s: 210.89.172.40, d: 192.168.0.82, seq: 4189289842
s: 210.89.160.70, d: 192.168.0.82, seq: 3141250210
s: 210.89.172.40, d: 192.168.0.82, seq: 4189289842
s: 210.89.168.147, d: 192.168.0.82, seq: 4005829708
s: 210.89.168.147, d: 192.168.0.82, seq: 2822642198
s: 210.89.160.70, d: 192.168.0.82, seq: 1576993778
s: 210.89.172.40, d: 192.168.0.82, seq: 4189293938
s: 210.89.168.147, d: 192.168.0.82, seq: 4005829708
s: 210.89.168.147, d: 192.168.0.82, seq: 4005831156
s: 210.89.168.147, d: 192.168.0.82, seq: 2822642198
s: 210.89.168.147, d: 192.168.0.82, seq: 2822646542
s: 172.217.31.170, d: 192.168.0.82, seq: 2655400157
s: 172.217.31.170, d: 192.168.0.82, seq: 2655400388
s: 172.217.31.170, d: 192.168.0.82, seq: 2655400668
s: 172.217.31.170, d: 192.168.0.82, seq: 2655400927
s: 210.89.172.40, d: 192.168.0.82, seq: 4189295386
s: 210.89.168.147, d: 192.168.0.82, seq: 4258985660
s: 210.89.168.147, d: 192.168.0.82, seq: 4258985918
s: 210.89.160.70, d: 192.168.0.82, seq: 3141250211
s: 125.209.254.162, d: 192.168.0.82, seq: 2764499087
s: 125.209.254.162, d: 192.168.0.82, seq: 2764500535
s: 125.209.254.162, d: 192.168.0.82, seq: 2764506289
s: 210.89.160.70, d: 192.168.0.82, seq: 1576993779
s: 210.89.168.147, d: 192.168.0.82, seq: 4258985987
s: 125.209.254.162, d: 192.168.0.82, seq: 2764518368
s: 125.209.254.162, d: 192.168.0.82, seq: 2764527018
s: 125.209.254.162, d: 192.168.0.82, seq: 2764532848
s: 125.209.254.162, d: 192.168.0.82, seq: 2764543022
s: 125.209.254.162, d: 192.168.0.82, seq: 2764551710
s: 125.209.254.162, d: 192.168.0.82, seq: 2764556054
s: 125.209.254.162, d: 192.168.0.82, seq: 2764558950
s: 125.209.254.162, d: 192.168.0.82, seq: 2764561846
s: 125.209.254.162, d: 192.168.0.82, seq: 2764563294
s: 210.89.160.70, d: 192.168.0.82, seq: 1576993779
s: 210.89.160.70, d: 192.168.0.82, seq: 1576995227
s: 210.89.160.70, d: 192.168.0.82, seq: 1576996675
s: 210.89.160.70, d: 192.168.0.82, seq: 1576998123
s: 210.89.168.147, d: 192.168.0.82, seq: 4005835216
s: 210.89.168.147, d: 192.168.0.82, seq: 4005835474
s: 210.89.160.70, d: 192.168.0.82, seq: 3141250211
s: 210.89.168.147, d: 192.168.0.82, seq: 4258986025
s: 210.89.168.147, d: 192.168.0.82, seq: 4258987454
